Batch_ID,Brew_Date,Beer_Style,SKU,Location,Fermentation_Time,Temperature,pH_Level,Gravity,Alcohol_Content,Bitterness,Color,Ingredient_Ratio,Volume_Produced,Total_Sales,Quality_Score,Brewhouse_Efficiency,Loss_During_Brewing,Loss_During_Fermentation,Loss_During_Bottling_Kegging
7870796,01-01-2020 00:00,Wheat Beer,Kegs,Whitefield,16,24.20425086,5.289845448,1.039504127,5.37084216,20,5,1:0.32:0.16,4666,2664.759345,8.577016331,89.19588216,4.104987659,3.235485172,4.663204448
9810411,01-01-2020 00:00,Sour,Kegs,Whitefield,13,18.08676295,5.275643383,1.059818952,5.096053083,36,14,1:0.39:0.24,832,9758.801062,7.420540753,72.48091539,2.676528095,4.24612921,2.044358369
2623342,01-01-2020 00:00,Wheat Beer,Kegs,Malleswaram,12,15.53933267,4.778015623,1.03747571,4.824737121,30,10,1:0.35:0.16,2115,11721.08702,8.451364887,86.32214396,3.299893626,3.109440467,3.033879838
8114651,01-01-2020 00:01,Ale,Kegs,Rajajinagar,17,16.4184891,5.345260586,1.052431425,5.509243081,48,18,1:0.35:0.15,3173,12050.17746,9.671859404,83.09494037,2.136055116,4.634254174,1.489889068
4579587,01-01-2020 00:01,Stout,Cans,Marathahalli,18,19.14490765,4.861853741,1.054296115,5.133624684,57,13,1:0.46:0.11,4449,5515.077465,7.895333676,88.62583302,4.491723844,2.183388602,2.990630219
8715759,01-01-2020 00:01,Ale,Kegs,Whitefield,10,17.42461439,5.291786622,1.064662043,4.859171022,45,9,1:0.23:0.15,3752,6278.38985,8.473811925,87.81282591,3.205108936,1.478338675,3.051920589
6441292,01-01-2020 00:01,Lager,Pints,Electronic City,16,15.62981088,5.332881241,1.046688505,4.710402523,44,8,1:0.34:0.16,593,14362.65367,6.958182686,85.7349627,3.95533197,1.622979233,1.566344313
8843420,01-01-2020 00:01,Wheat Beer,Cans,Indiranagar,13,21.60546969,4.507213419,1.04158099,4.83702483,38,9,1:0.45:0.26,4949,1082.354912,6.29563296,73.43876488,1.704700557,1.718772986,1.033655874
5713096,01-01-2020 00:02,Stout,Bottles,Electronic City,18,20.18353008,5.224481543,1.076441383,5.133596662,25,15,1:0.39:0.19,2451,7392.644809,9.660185082,83.26770612,4.765479208,2.386245762,4.453829514
8178852,01-01-2020 00:02,Stout,Cans,Electronic City,11,17.23797492,4.911261716,1.047829851,5.709899254,48,10,1:0.43:0.17,4305,7648.283093,9.348719159,73.6038033,3.842538534,4.284796714,1.312848166
5607233,01-01-2020 00:02,Pilsner,Cans,Electronic City,14,15.70400745,4.809827441,1.05038458,5.460061911,26,15,1:0.27:0.16,4959,10634.43163,7.652974519,72.27786196,3.441262633,1.785215886,3.512642467
3699698,01-01-2020 00:02,IPA,Pints,Electronic City,19,17.59770189,5.31202458,1.033045018,4.661066386,47,6,1:0.44:0.25,4894,11852.09797,8.549107362,85.26361099,4.887950102,3.866492436,1.500334429
4437940,01-01-2020 00:03,Sour,Cans,Rajajinagar,14,15.41552475,5.422808723,1.046025948,4.51693987,34,16,1:0.30:0.24,1479,11651.6287,8.315401863,78.08985644,1.848363485,3.631755659,1.249312159
6167789,01-01-2020 00:03,Ale,Pints,Marathahalli,17,20.37375558,4.768508395,1.034282184,5.319366432,32,6,1:0.24:0.14,4486,1665.181859,9.953030037,89.49078286,1.839952625,1.696519235,1.78445382
9487317,01-01-2020 00:03,Porter,Kegs,Koramangala,17,24.67887017,4.87614432,1.06116298,4.973813893,34,15,1:0.50:0.28,1475,17473.88252,8.046295862,76.74945136,2.536289464,2.690711503,2.003923222
6902208,01-01-2020 00:03,Pilsner,Cans,Yelahanka,10,16.24653222,5.241133152,1.03829925,4.535179745,37,17,1:0.47:0.12,4484,2557.880022,9.730922046,75.90153324,2.691309098,2.207272036,2.378649007
1816588,01-01-2020 00:03,Sour,Bottles,Marathahalli,11,22.90397225,5.47356379,1.037373003,5.129168085,44,10,1:0.31:0.21,3377,13527.91912,9.167866793,75.82965915,2.284037545,1.4423129,2.16768764
4910947,01-01-2020 00:03,Porter,Kegs,Malleswaram,15,24.885024,4.685795662,1.066062871,5.575448433,36,6,1:0.32:0.28,1459,6824.262657,8.42388693,77.73591738,2.208027942,1.016925644,2.459324212
3420320,01-01-2020 00:03,Pilsner,Pints,Rajajinagar,15,17.78571332,5.318024914,1.068716784,5.406625556,23,5,1:0.23:0.16,3809,5925.879915,9.181668961,88.3708723,2.583703606,3.181679794,2.301820284
2821972,01-01-2020 00:03,Stout,Bottles,Malleswaram,16,18.53433164,4.771957309,1.038209084,5.402760414,40,13,1:0.34:0.14,2787,6972.84993,8.428914873,83.91379885,4.765304131,2.221555231,3.995200024
7657942,01-01-2020 00:03,Lager,Bottles,Rajajinagar,10,24.77148259,4.871076835,1.062104276,5.709784875,54,15,1:0.41:0.13,3801,14628.19769,9.892455908,88.00925939,4.117879946,2.285555446,4.168057138
